Company Name,Ticker,Market Cap ,Avg Volume,Beta,P/E (Trailing 12 Months),Current Ratio,Current ROE (TTM),12 Mo Trailing EPS,Price as a % of 52 Wk H-L Range,% Price Change (12 Weeks)
F5 NETWORKS INC,FFIV,9327.78,759884.88,1.38,25.23,1.53,31.79,5.66,97.71,14.77
FARMERS CAP KY,FFKT,269.91,35718.85,0.67,15.3,0.76,9.57,2.35,100,18.06
FIRST FINL NW,FFNW,187.25,52704.1,0.46,27.19,1.27,4.84,0.63,88.91,26.05
FIRST FOUNDATN,FFWM,471.06,46027.4,0.41,20.91,1.27,7.23,1.38,100,15.4
FIDELITY&GUARNT,FGL,1391.31,145544,0.81,8.52,0.21,10.36,2.77,37.96,3.55
FIRST HRZN NATL,FHN,4366.16,2052175,1.07,20.57,0.93,8.54,0.91,100,23.89
FIRST INTST MT,FIBK,1674.02,191847.66,0.97,18.02,0.79,9.66,2.07,91.77,21.82
FAIR ISAAC INC,FICO,3642.68,261125.55,1.17,32.43,1.09,27.14,3.63,70.81,-11.29
FORTRESS INVEST,FIG,1941.82,766609.56,1.75,5.29,0.67,42.59,0.95,67.27,0.4
FEDERATED INVST,FII,2780.17,1350662.75,1.63,13.81,2.84,30.13,1.97,40.56,-16.59
FINISH LINE-CLA,FINL,935.36,1131578.5,1.24,20.59,2.13,8.83,1.12,84.43,-2.91
FIDELITY NAT IN,FIS,25897.19,1519813.25,0.88,21.74,1.2,12.15,3.63,92.18,-1.88
FINANCIAL INST,FISI,442.74,81403.5,0.99,15.47,0.72,10.07,1.97,91.57,12.91
FISERV INC,FISV,23125.25,1274779.25,0.82,24.89,1.03,36.84,4.28,81.82,2.74
FIFTH THIRD BK,FITB,19185.04,8136483,1.2,13.87,0.92,10,1.83,92.71,27.78
FIVE BELOW INC,FIVE,2188.76,1062891.88,1.02,34.69,2.79,26.01,1.15,50.47,-9.11
COMFORT SYSTEMS,FIX,1235.34,238135.95,1.29,20.49,1.35,17.22,1.62,90.46,16.29
NATL BEVERAGE,FIZZ,2347.97,244618.25,0.56,32.12,2.94,35.97,1.57,57.86,4.3
FOOT LOCKER INC,FL,9652.63,2162167.5,0.59,15.68,4.64,24.22,4.62,92.19,9.77
FLEXTRONIC INTL,FLEX,7851.65,2891689.75,0.89,13.85,1.23,22.09,1.05,100,10.07
FIRST LONG IS,FLIC,609.93,53304.9,0.63,19.51,0.9,10.53,1.32,87.68,18.59
FLIR SYSTEMS,FLIR,4798.58,745920.13,0.49,22.89,4.69,12.8,1.54,95.15,13.34
FLAMEL TECH,FLML,445.4,135607.55,1.52,41.54,3.01,19.35,0.26,40.69,-23.24
FLOWERS FOODS,FLO,3234.92,2257726.25,0.83,17.12,1.42,16.16,0.91,10.35,4.7
SPX FLOW INC,FLOW,1266.13,373361.69,2.6,20.84,1.46,6.09,1.45,79.54,1.24
FLUOR CORP-NEW,FLR,7348.22,2619112.75,1.61,15.61,1.48,14.81,3.38,80.92,3.01
FLOWSERVE CORP,FLS,5875.56,1193489.13,1.55,19,1.98,17.93,2.37,56.97,-6.34
FLEETCOR TECH,FLT,13890.04,1459409.25,1.4,25.28,0.78,18.53,5.92,58.42,-10.79
1800FLOWERS.COM,FLWS,711.87,180484.59,1.67,27.38,1.11,11.43,0.4,94.87,18.12
FLEXSTEEL INDS,FLXS,426.71,37838.45,1.71,19.75,5.31,10.41,2.78,97.69,11.32
FLY LEASING LTD,FLY,459.2,150237.25,0.88,4.61,1.27,17.29,2.99,93.66,17.49
FIRST MID-IL BC,FMBH,378.82,27547,-0.29,16.53,0.8,9.09,1.84,83.49,20.63
FIRST MIDWST BK,FMBI,1952.64,328060.16,1.12,20.01,0.94,7.71,1.2,95.53,22.81
FMC CORP,FMC,7334.38,1318658.63,1.57,20.22,2.14,18.06,2.71,97.75,17.32
FARMERS NATL BC,FMNB,324.58,80053.15,0.5,16.22,0.85,9.51,0.74,93.38,17.19
FRESENIUS MED,FMS,24208.85,195180.25,0.58,20.63,1.37,10.56,1.91,10.79,-13.21
FOMENTO ECO-ADR,FMX,28307.38,887704,0.77,29.41,1.51,8.47,2.69,4.16,-15.79
FABRINET,FN,1613.97,563907.69,1.53,21.05,2.53,14.16,2.08,90.45,8.15
FNB CORP,FNB,3169.45,2269321.5,0.85,16.92,0.83,7.73,0.89,94.4,22.14
FIRST NBC BANK,FNBC,129.81,769490.06,1.6,1.76,0.96,16.07,3.83,4.54,-43.52
FNF GROUP,FNF,8868.32,2092584.25,0.92,14.12,0.73,13.04,2.31,34.24,-14.57
FNFV GROUP,FNFV,875.88,212582.91,0.85,77.35,1.63,0.18,0.17,90.12,2.73
FINANCIAL ENGIN,FNGN,2163.72,325253.25,1.82,47.88,3.42,7.03,0.73,89.26,9.39
FEDERATED NATL,FNHC,244.43,149572.8,1.64,11.73,0.48,8.14,1.51,20.28,-1.88
FIRST BANCP INC,FNLC,316.53,16155.3,0.61,18.1,0.81,10.12,1.62,98.55,27.25
FINISAR CORP,FNSR,3755.77,1428601.25,1.37,42.59,5.18,7.61,0.8,100,50.49
FERRO CORP,FOE,1217.44,549092.5,2.2,14.31,2.56,27.35,1.02,90.61,8.39
FOGO DE CHAO,FOGO,386.73,43319.65,0.14,15.63,1.64,9.35,0.88,45.49,10.98
FONAR CORP,FONR,124.7,34219.75,2.46,8.17,2.57,26.29,2.48,66.25,-1.7
FORESTAR GROUP,FOR,448.5,484114.41,1.7,8.58,5.6,12.38,1.55,91.76,5.56
FORMFACTOR INC,FORM,778.25,434898.81,1.32,61.11,3.06,3.95,0.18,93.95,3.87
FORRESTER RESH,FORR,741.47,39046.7,0.5,49.04,1.22,11.35,0.83,91.17,-1.05
FOSSIL GRP INC,FOSL,1676.95,1199459.25,1.66,14.05,3.28,12.56,2.48,38.27,24.61
TWENTY-FIRST CF,FOX,52617.22,4140758,1.22,15.17,2.01,23.28,1.87,62.26,14.77
TWENTY-FST CF-A,FOXA,52821.3,10029354,1.28,15.23,2.01,23.28,1.87,65.42,16.58
FOX FACTORY HLD,FOXF,895.72,465621.31,0.59,20.77,2.11,27.68,1.17,90.23,15.39
FARMLAND PARTNR,FPI,166.3,141790.91,0.14,31.16,0.07,0.15,0.38,94.76,2.07
FIRST POTOMAC,FPO,573.24,180122.59,0.69,9.19,1.36,-8.28,1.07,48.48,-3.63
FIRST INDL RLTY,FR,3138.08,806672.44,1.04,18.51,0.73,11.92,1.45,73.08,-8.4
FRANCESCAS HLDG,FRAN,629.85,590474.44,1.03,17.12,2.68,33.84,0.97,68.28,18.73
REPUBLIC FST BC,FRBK,197.17,70014.95,1.15,47.27,0.71,3.62,0.11,96.55,21.78
FAIRFAX FIN LTD,FRFHF,10916.52,15554.8,0.39,35.66,4.77,3.18,13.29,24.34,-18.43
FIESTA RESTRNT,FRGI,779.81,376574.34,1.12,20.71,0.48,14.66,1.4,45.87,13.68
FIRST MERCHANTS,FRME,1404.17,139428.84,0.99,19.12,0.9,8.32,1.8,100,28.64
FRONTLINE LTD,FRO,1140.06,956392.5,2.55,5.21,1.29,16.87,1.4,5.06,-3.44
FED RLTY INV,FRT,10179.4,463096.34,0.36,25.41,1.37,10.87,5.58,14.44,-11.46
FRANKLIN FNL NW,FSB,489.49,135542.66,1.58,17.04,0.76,12.71,2.21,99.25,3.89
FIFTH STREET FI,FSC,857.29,573020.25,0.29,7.97,0.31,8.81,0.74,70.47,-5.75
FIFTH ST SNR FR,FSFR,278.76,153300.09,0.37,10.51,0.27,7.71,0.9,100,6.53
FS INVESTMENT,FSIC,2501.65,774716.69,0.92,11.52,1.74,9.68,0.89,96.18,3.33
FIRST SOLAR INC,FSLR,3112.2,5333602,2.2,5.6,2.46,9.58,5.35,1.68,-23.16
FORTUNA SILVER,FSM,907.07,1639797.75,0.41,51.83,2.64,5.97,0.12,56.02,-30.97
FRANKLIN ST PPT,FSP,1368.27,376456.75,0.76,12.04,2.56,2.38,1.06,91.01,-1.39
FED SIGNAL CP,FSS,956.68,443156.84,1.45,20.47,2.84,11.98,0.78,82.21,21.44
FIRSTSERVICE CP,FSV,1505.76,56823.6,0.75,39.49,1.68,19.59,1.1,53.02,-11.51
FTD COS INC,FTD,626.65,181838,0.44,13.46,0.75,8.84,1.71,48.83,-0.39
FMC TECH INC,FTI,7448.17,3303882.75,0.92,26.4,2.13,10.93,1.25,81,16.03
FUJI HEAVY ADR,FUJHY,31582.37,33599.25,0.49,9.6,1.8,30.37,2.14,88.74,2.65
FULLER(HB) CO,FUL,2441.64,214672.75,1.71,19.96,2.09,13.66,2.43,98.01,0.06
FULTON FINL,FULT,3075.56,1087118.25,0.96,19.5,0.97,7.57,0.91,92.41,25.26
CEDAR FAIR,FUN,3424.64,132089.8,0.79,19.48,1.08,768.42,3.13,83.42,6.14
FORWARD AIR CRP,FWRD,1463.88,150650.16,1.02,21.13,1.58,13.88,2.27,90.63,2.9
GENPACT LTD,G,4860.33,834157.63,0.6,18.62,1.77,20.68,1.3,26.54,-0.04
GERMAN AMER BCP,GABC,739.1,36086.35,1.06,19.85,0.88,11.33,2.44,89.96,32.42
GLADSTONE INVES,GAIN,246.41,189182.8,0.68,11.47,0.15,7.59,0.71,60.43,-11.33
GARRISON CAPITL,GARS,151.66,61779.6,0.23,7.33,7.44,9.77,1.29,9.09,-13.38
GATX CORP,GATX,2131.46,347146.09,1,7.86,3.09,21.38,6.8,96.37,24.96
GLACIER BANCORP,GBCI,2602.61,391642.59,1.34,21.66,0.76,10.77,1.57,92.56,16.55
GOLUB CAPITAL,GBDC,1013.09,193855.45,0.61,14.72,5.15,7.8,1.25,70.13,-1.71
GAMCO INVESTORS,GBL,893.7,26340.1,1.13,11.22,1.26,-33.04,2.7,9.12,-1.37
GLOBAL INDEMNTY,GBLI,656.33,17449.85,0.44,16.32,0.23,5.82,2.29,100,29.89
GUARANTY BANCRP,GBNK,586.23,162643.7,1.03,18.65,0.91,9.59,1.15,100,19.17
GREENBRIER COS,GBX,1068.06,464692.84,1.87,6.56,2.29,19.02,5.74,95.43,9.23
GAIN CAP HLDGS,GCAP,315.9,219180.8,-0.06,7.05,1.21,14.81,0.92,51.89,2.2
GANNETT CO INC,GCI,1115.94,1469886.13,0.38,8.11,0.95,13.08,1.18,20.43,-19.65
GENESCO INC,GCO,1305.56,184344.09,1.18,14.16,2.08,10.65,4.47,59.08,29.85
GENL DYNAMICS,GD,53330.59,1756963.75,0.69,18.13,1.29,27.68,9.66,100,13.26
GOLDEN ENTMNT,GDEN,281.65,40678.85,-0.36,40.87,1.76,3.45,0.31,71.96,-0.31
GREEN DOT CP-A,GDOT,1213.64,265856.31,1.05,24.18,1.05,7.76,1,96.37,3.29
GENL ELECTRIC,GE,274680.44,31783876,1.2,19.9,2.01,16.08,1.56,65.69,0
GREIF INC,GEF,2445.52,242430.95,1.46,20.15,1.03,14.86,2.54,80.57,8.37
GREIF BROS-CL B,GEF.B,1398.73,11031.2,1.42,25.02,1.03,15.5,2.54,84.58,10.2
GENESIS ENERGY,GEL,3937.98,487196.41,1.23,32.42,1.29,5.7,1.03,63.31,-7.97
GEO GRP INC/THE,GEO,2494.93,1523155,1.03,9.04,1.76,14.7,3.68,88.31,56.37
GUESS INC,GES,1312.89,1085324.88,0.62,24.7,3.11,5.16,0.63,23.9,-0.58
GRIFFON CORP,GFF,1078.73,362666.41,1.45,28.18,2.45,8.76,0.85,98.08,41.63
GRUPO GALIC ADR,GGAL,3670.65,260748.3,1.71,8.09,1.38,31.63,3.49,52.56,-9.55
GERDAU SA ADR,GGB,7024.36,11493779,2.34,102.25,2.89,0.48,0.04,94.54,38.18
GRACO INC,GGG,4527.11,217866.05,1.29,23.43,2.81,29.75,3.47,78.99,9.26
GENL GRWTH PPTY,GGP,22728.83,4196790.5,0.86,16.66,2.38,15.19,1.54,18.26,-12.78
GRAHAM HOLDINGS,GHC,2737.95,27026.65,0.82,17.41,2.28,6.48,28.02,52.68,-4.03
GREENHILL & CO,GHL,811.52,408478.91,1.38,19.54,2.88,16.11,1.42,89.75,23.83
GRAHAM CORP,GHM,228.66,45816.9,0.93,63.54,3.61,3.26,0.37,100,20.01
CGI GRP INC -A,GIB,13253.94,191003.55,0.94,18.52,1.15,17.31,2.63,87.54,-3.24
GULF ISLAND FAB,GIFI,169.36,41402.25,1.02,38.67,2.83,1.72,0.3,100,29.75
GIGPEAK INC,GIG,188.31,474838.5,2.14,23.17,3.57,7.73,0.12,66.05,34.95
G-III APPAREL,GIII,1289.43,695102.63,0.55,13.48,3.08,10.91,2.09,7.93,-11.66
GILDAN ACTVWEAR,GIL,6429.8,703189.63,1.24,18.87,4.88,16.67,1.47,56.45,-7.56
GILEAD SCIENCES,GILD,98637.94,9580357,1.25,6.25,1.93,100.57,11.98,8.58,-3.86
GILAT SATELLITE,GILT,260.41,11870.85,1.05,119.88,1.75,0.86,0.04,79.1,-1.54
GENL MILLS,GIS,37056.06,2998444.5,0.55,21.53,0.8,33.82,2.91,46.11,-11.62
G&K SVCS  A,GK,1897.06,145665.45,1.06,26,2.27,18.75,3.7,96.48,-1.43
GLADSTONE CAPTL,GLAD,208.74,148975.55,1.23,10.23,4.06,10.14,0.8,82.96,-5.32
GLOBANT SA,GLOB,1220.95,339258.19,1.19,35.75,2.54,19.58,0.99,51.08,-11.41
GASLOG PARTNERS,GLOP,497.58,144080.66,1.68,9.46,1.8,11.23,2.14,85.42,0
GAMING AND LEIS,GLPI,6443.72,1226276.75,1,10.83,0.58,20.85,2.87,56.82,-10.14
GLATFELTER,GLT,1031.26,187878.8,1.34,15.89,1.68,9.69,1.49,100,4.41
CORNING INC,GLW,22991.11,7611001,1.32,17.14,3.7,10.11,1.41,98.42,5.64
GENERAL MOTORS,GM,52784.97,14201086,1.42,5.55,0.93,23.22,6.23,80.99,7.63
GAMESTOP CORP,GME,2546.52,3258008.5,1.16,6.41,1.59,18.72,3.82,24.61,-13.68
GLOBUS MEDICAL,GMED,1561.56,1089093.13,0.62,18.24,7.27,14.92,1.19,13.97,-10.51
GOLAR LNG PARTN,GMLP,883.01,218844.66,1.02,6.9,0.6,23.14,2.96,87.77,3.76
GNC HOLDINGS,GNC,988.38,1996780.63,0.83,5.35,2.62,53.97,2.7,6.29,-31.39
GENERAC HOLDING,GNRC,2603.91,581982.25,1.05,14.11,2.01,42.39,2.89,91.23,10.3
GENER8 MARITIME,GNRT,330.73,441706.91,1.35,2.2,0.75,10.75,1.82,7.17,-29.33
GENTEX CORP,GNTX,5240.27,1945858,0.84,15.24,7.09,19.53,1.2,96.14,3.28
RANDGOLD RSRCS,GOLD,6904.18,1406034.13,0.28,32.72,4.2,5.98,2.25,21.72,-29.36
GLADSTONE COMML,GOOD,462.14,228778.84,0.82,12.56,0.74,1.85,1.55,100,4.91
ALPHABET INC-C,GOOG,531293,1894450,1.01,28.2,6.88,15.08,27.33,70.82,-1.18
ALPHABET INC-A,GOOGL,544112.88,2185918.75,0.92,28.89,6.88,15.08,27.33,70.05,-2.3
GOLD RESOURCE,GORO,249.46,1108151.25,0.46,44.1,3.89,5.89,0.1,49.17,-32.15
GOVT PPTYS INCM,GOV,1356.67,562917.06,1.09,8.01,1.22,4.58,2.38,52.77,-20.85
GENUINE PARTS,GPC,14360.56,740409.44,0.91,20.81,1.34,21.43,4.64,68.79,-5.03
GROUP 1 AUTO,GPI,1535.29,273773.75,1.38,9.95,1.04,17.77,7.22,68.58,17.27
GRAPHIC PKG HLD,GPK,4096.72,2911908.25,1.31,16.54,1.61,22.9,0.78,55.96,-11.52
GLOBAL PAYMENTS,GPN,10849.47,1259726.38,1.1,23.14,1.16,22.33,3.05,67.71,-7.98
GULFPORT ENGY,GPOR,3214.13,2034494,1.29,48.34,1.59,3.3,0.53,38.19,-13.15
GREEN PLAIN PTR,GPP,289.58,55042.5,1.27,11.23,1.28,1267.95,1.62,62.99,-5.75
GAP INC,GPS,10057.56,7450491,1.06,12.08,1.6,32.19,2.09,59.84,7.73
GRAMERCY PPT TR,GPT,3873.77,4056284.75,0.59,12.75,0.56,-1.04,0.72,74.61,-5.85
GP STRATEGIES,GPX,444.71,31710,1.14,22.21,1.24,12.55,1.2,79.77,11.23
GRACE (WR) NEW,GRA,4697.13,617226.25,1.25,19.09,1.58,62.32,3.51,5.84,-14.87
GRANA Y MONTERO,GRAM,838.27,149599.2,1.33,12.45,1.31,6.71,0.51,62.97,-25.21
GREEN BRICK PTR,GRBK,452.67,70876.45,1.91,13.81,2.79,9,0.67,94.46,19.2
GORMAN RUPP CO,GRC,770.99,50921.2,1.06,31.44,3.94,8.28,0.94,76.41,10.39
GRIFOLS SA-ADR,GRFS,10822.12,972881.81,1.18,16.4,3.19,17.54,0.96,45.49,-1.93
GARMIN LTD,GRMN,10273.9,1129126.25,0.84,18.24,2.44,16.15,2.85,83.97,6.06
GRANITE RE INV,GRP.U,1553.41,10623.15,0.48,12.6,1.49,15.73,2.62,92.71,2.45
GRUBHUB INC,GRUB,3271.36,1587135,1.94,53.83,3.33,6.67,0.71,77.81,-10.76
GOLDMAN SACHS,GS,84202.18,4051309.5,1.55,13.27,0.93,9.73,15.96,99.23,25.05
GREAT SOUTH BCP,GSBC,699.19,29641.3,0.99,15.64,1.02,11.03,3.21,93.12,19.55
GOLDMAN SAC BDC,GSBD,828.01,133766.09,0.9,10.31,1.05,11.88,2.21,96.24,5.8
GLAXOSMITHKLINE,GSK,94070.49,4289141,0.93,14.44,0.97,75.51,2.65,3.09,-13
GOLDEN STAR RES,GSS,274.5,2776744.5,0.13,11.93,0.55,-10.32,0.07,73.66,9.87
GOODYEAR TIRE,GT,8129.19,3103681.5,1.33,7.82,1.37,24.47,3.98,63.13,-0.06
CHART INDUSTRIE,GTLS,1050.36,341816.41,1.46,25.24,2.79,6.1,1.36,94.27,10.17
TRIPLE-S MGMT-B,GTS,544.69,106705.4,0.91,45.8,0.58,1.41,0.49,40.47,1.08
GETTY REALTY CP,GTY,818.61,146413.59,0.6,12.43,1.14,12.35,1.94,98.68,1.17
GOLDFIELD CORP,GV,105.62,270209.44,2.29,8.3,2.9,31.35,0.5,100,37.87
GRANITE CONSTRU,GVA,2396.44,533869.94,1.42,35.39,1.94,7.85,1.71,96.85,23.84
GREAT WSTRN BCP,GWB,2277.29,398429.34,1.69,16.87,1.05,8.33,2.3,96.12,16.97
GENESEE & WYO,GWR,4413.38,498419.09,1.51,22.48,0.98,7.58,3.38,96.95,11.15
GRAINGER W W,GWW,13483.67,650479.13,0.74,19.48,2.04,31.67,11.62,77.87,-1.76
GREAT PLAINS EN,GXP,5845.26,3559736.75,0.39,14.52,0.53,7.87,1.87,18.8,-2.69
GAZIT GLOBE LTD,GZT,1778.9,10115.7,1.05,16.16,0.61,1.39,0.56,50.13,-12.14
HYATT HOTELS CP,H,6905.43,601365.63,1.41,33.61,1.47,5.33,1.57,90.71,-0.32
HAWAIIAN HLDGS,HA,2804.86,642783.38,1.16,10.98,1.03,48.03,4.78,100,9.35
HABIT RESTRNTS,HABT,323.1,446618.66,1.01,58.1,2.03,5.39,0.29,32.88,8.5
HAEMONETICS CP,HAE,2046.17,406581.06,0.87,25.39,2.58,10.99,1.56,97.96,4.93
HANMI FINL CP,HAFC,998.88,183523.41,0.96,17.49,0.97,11.07,1.77,94.07,17.73
HAIN CELESTIAL,HAIN,4059.3,1806270.75,0.93,19.82,2.6,11.39,1.98,26.41,6.57
HALLMARK FINL,HALL,199.71,39764.95,0.89,13.41,0.4,5.65,0.8,34.54,-2.37
HARMAN INTL IND,HAR,7630.2,2279298,1.53,16.48,1.57,19.36,6.64,99.33,27.88
HASBRO INC,HAS,10809.14,983145.5,0.85,20.58,1.95,32.27,4.21,94.17,4.73
HANNON ARMSTRNG,HASI,954.98,650376.63,1.09,21.03,2.6,8.31,0.97,47.36,-17.38
BLACKHAWK NETWK,HAWK,2021.26,515052.16,0.56,20.62,0.98,13.3,1.77,39.45,10.94
HUNTINGTON BANC,HBAN,13321.14,15691731,1.16,14.45,0.9,10.97,0.85,92.83,24.54
HOME BANCORP,HBCP,245.95,13125.15,0.14,14.67,1.01,9.3,2.29,97.23,15.27
HANCOCK HLDG CO,HBHC,3087.45,619116.63,0.77,27.26,0.82,4.74,1.46,90.66,23.18
HANESBRANDS INC,HBI,8870.37,4412455,1.05,13.26,1.9,61.39,1.77,0,-10.04
HORIZON BNCP-IN,HBNC,514.17,67794.63,0.7,16.64,0.98,9.37,1.39,91.21,23.53
HUTTIG BLDG PRD,HBP,153.56,95034,2.35,11.82,2.11,21.28,0.51,80.16,-0.33
HCA HOLDINGS,HCA,26797.54,4848677,0.79,10.72,1.72,-43.65,6.67,45.28,-6.08
HERITAGE-CRYSTL,HCCI,365.28,58233.9,1.81,56.21,1.92,3.39,0.29,98.89,22.1
HCI GROUP INC,HCI,342.76,113091.85,2.23,9.73,1.14,14.81,3.46,59.97,3.89
HACKETT GROUP,HCKT,509.12,108026.35,1.01,27.01,1.32,23.77,0.66,80.23,6.38
LAFARGEHOLCIM,HCMLY,31407.54,34827.6,1.76,12.95,1.02,-4.64,0.8,74.02,-3.09
WELLTOWER INC,HCN,23270.93,2737698.5,0.25,14.05,3.14,6.37,4.57,40.53,-17.62
HAWAIIAN TELCOM,HCOM,263.99,19381.8,1.05,127.39,0.72,0.65,0.18,55.49,5.86
HCP INC,HCP,13840.46,4508977,0.29,10.03,0.5,-0.32,2.95,24.44,-26.24
HEALTHCARE SERV,HCSG,2823.64,419565.41,0.67,42.28,3.67,20.97,0.92,67.17,-5.42
HOME DEPOT,HD,157898.03,5956343,1.05,20.97,1.34,123.29,6.18,66.01,-3.34
HDFC BANK LTD,HDB,54254.89,888611.31,1.32,29.13,0.88,14.84,2.21,56.6,-13.05
HARDINGE INC,HDNG,135.92,36774.4,1.06,22.91,2.66,3.73,0.46,45.65,-0.19
HD SUPPLY HLDGS,HDS,7737.49,2363392.5,1.29,16.81,2.24,84.15,2.29,93.17,6.15
HUDSON TECHNOLO,HDSN,273.02,560272.69,1.29,23.59,3.29,20.51,0.34,94.98,32.34
HAWAIIAN ELEC,HE,3440.21,544325.44,0.25,18.32,0.9,9.64,1.73,58.75,5.67
H&E EQUIP SVCS,HEES,636.13,511907.41,2.33,17.2,0.65,26.28,1.04,75.61,12.87
HEICO CORP,HEI,5314.33,148540.55,0.4,35.28,2.97,15.99,2.24,97.61,15.8
HELEN OF TROY,HELE,2448.82,156457.91,0.96,13.92,1.96,18.63,6.31,35.35,-3.42
HERITAGE OAKS,HEOP,347.01,63953.65,0.93,22.02,0.86,7.52,0.46,92.1,24.29
HOLLY EGY PTNRS,HEP,2010.25,124434.85,0.85,17.89,1.02,40.74,1.79,66.43,-2.91
HFF INC-A,HF,1147.15,179972.95,1.59,13.94,1.18,43.76,2.16,62.18,9.61
HOLLYFRONTIER,HFC,4861.36,3907321.5,1.47,27,2.1,3.3,1.02,18.72,10.91
HERITAGE FIN CP,HFWA,678.3,152464.34,0.31,17.56,0.81,7.96,1.29,96.11,23.43
HOWARD HUGHS CP,HHC,4505.79,122903.9,1.55,17.7,1.43,12.19,6.39,71.6,-4.25
HILLENBRAND INC,HI,2232.18,306132.34,1.17,17.61,1.38,20.37,2.01,92.67,11.08
HIBBET SPORTS,HIBB,875.08,464421.16,0.85,13.58,3.27,20.53,2.93,64.48,2.31
HARTFORD FIN SV,HIG,17723.28,2293232.75,1.24,13.84,0.38,7.49,3.39,89.58,15.17
HUNTINGTON INGL,HII,8371.38,526141.63,1.15,18.61,1.91,29.26,9.7,99.58,8.09
HEALTH INS INN,HIIQ,189.56,550032.13,-0.32,14.77,1,16.47,0.87,100,115.6
HIMAX TECH-ADR,HIMX,1262.51,2591668.5,1.25,22.94,2.14,11.71,0.32,10.56,-27.04
HIGHWOODS PPTYS,HIW,4875.93,629731.63,0.92,14.84,0.96,4.97,3.28,57.68,-9.37
HECLA MINING,HL,2466.59,14057688,0.46,34.67,2.29,4.88,0.18,82.52,-0.95
HERBALIFE LTD,HLF,4582.66,1872748.25,1.87,9.75,1.23,1018.52,5.05,23.71,-21.48
HOULIHAN LOKEY,HLI,356.15,139141.75,0.11,17.38,0.97,16.09,1.62,98.43,13.37
HEALTHSOUTH CP,HLS,3772.33,2553562.5,0.9,16.54,1.4,29.27,2.54,91.43,2.94
HILTON WW HLDG,HLT,24556.52,8486815,1.24,28.52,1.16,13.84,0.87,93.85,4.99
NOBILIS HEALTH,HLTH,190.19,528813.56,-0.57,9.8,2.19,14.45,0.25,21.98,-36.03
HONDA MOTOR,HMC,53005.26,601435.19,1.21,14.56,1.15,5.86,2.02,55.77,-4.42
HOEGH LNG PTNRS,HMLP,248.2,11216.05,0.97,14.17,0.76,14.9,1.33,94.31,-0.21
HORACE MANN EDS,HMN,1616.36,243905.75,1.09,21.38,0.1,5.72,1.88,100,10.74
HOMESTREET INC,HMST,741.35,309416.91,0.05,10.59,1.01,12.89,2.82,86.16,13.93
HMS HLDGS CP,HMSY,1564.5,894082.19,0.98,28.88,4.94,10.04,0.64,62.39,-16.53
HEMISPHERE MDA,HMTV,504.65,38985.5,0.46,29.75,7.68,6.32,0.4,32.95,-7.32
HNI CORP,HNI,2393.86,180680.75,1.29,19.91,1.05,24.76,2.7,90.1,-3.28
HENNES&MAURIT,HNNMY,42249.94,75694.35,1.28,20.66,1.4,34.22,0.28,16.5,-7.96
HUANENG POWER,HNP,9519.25,69760.25,0.59,6.72,0.27,9.16,3.73,14.67,-2.3
HALLADOR ENERGY,HNRG,273.36,193499.05,-0.21,16.68,1.46,7.78,0.56,88.65,25.37
HOOKER FURNITUR,HOFT,318.56,76123.7,0.73,16.9,3.58,10.93,1.63,44.42,14.41
HARLEY-DAVIDSON,HOG,10592.24,2012054.25,0.96,15.89,1.61,35.49,3.77,98.94,14.31
HOLLYSYS AUTOMT,HOLI,1130.23,333785.44,1.59,10.04,2.69,17.04,1.88,45.88,-11.36
HOLOGIC INC,HOLX,10844.86,2899280.75,1.13,19.89,1.47,26.76,1.96,74.54,1.25
HOME BANCSHARES,HOMB,3665.51,716753.63,0.96,21.84,1.05,13.46,1.2,92.71,12.94
HONEYWELL INTL,HON,86379.25,3049999.5,0.94,17.6,1.2,26.6,6.44,72.33,-2.05
HOPE BANCORP,HOPE,2700.64,732275.06,1.17,16.24,1.03,9.3,1.23,93.35,16.92
HOVNANIAN ENTRP,HOV,293.12,1188485.25,2.26,16.58,3.55,-6.95,0.12,95.83,4.74
HUDSON PAC PPTY,HPP,4175.61,1162610.25,0.71,19.85,1.51,0.25,1.76,100,3.28
HP INC,HPQ,25919.77,12702563,1.53,9.41,0.96,-61.38,1.61,86.58,3.55
HOSPITALITY PRP,HPT,4837.72,970359.69,1.14,8.2,0.32,5.38,3.59,74.06,-3.16
HANWHA Q CELLS,HQCL,688,40791.8,2.75,3.98,1.33,42.02,2.08,0,-31.43
HEALTHCARE RLTY,HR,3464.78,921808.38,0.4,18.34,0.18,3.81,1.63,31.75,-16.6
HILL-ROM HLDGS,HRC,3545.98,895903.38,1.2,15.96,1.63,18.93,3.38,55.69,-10.43
HORMEL FOODS CP,HRL,18770.76,3258027,0.52,21.63,1.93,20.56,1.64,13.96,-8.23
HARRIS CORP,HRS,13009.32,879905.13,1.29,18.11,1.31,22.84,5.78,98.83,11.6
HERITAGE INSUR,HRTG,470.65,220626.55,1.13,7.89,0.58,15.58,1.89,29.97,4.56
HORIZON TECHNOL,HRZN,129.06,115732.1,0.83,7.45,0.34,11.33,1.5,39.41,-17.81
HSBC HOLDINGS,HSBC,156005.59,2049113.75,1.09,16.05,0.91,2.84,2.45,88.24,2.56
HARSCO CORP,HSC,1098.4,732848.81,2.69,31.86,1.37,11.33,0.43,100,37.69
